Athlete,Team,Trim/Split Name,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Distance Rate (m/min),Speed Avg (km/h),Speed Max (km/h),Speed AvgSpeed Zone Total (km/h),Speed MaxSpeed Zone Total (km/h),DistanceSpeed Zone Total  (m),DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),DurationSpeed Zone 1 (min:sec),DurationSpeed Zone 2 (min:sec),DurationSpeed Zone 3 (min:sec),DurationSpeed Zone 4 (min:sec),DurationSpeed Zone 5 (min:sec),Acceleration MaxAcceleration Zone Total (m/s/s)
"2, Athlete",RussEquestrian,Ride 1,13/09/2024,06:15:00,18:00,3314,184,11.1,30.2,17.1,30.2,3314,1023,299,1765,227,0,11:34,01:19,04:35,00:31,00:00,5.0
"4, Athlete",RussEquestrian,Ride 1,13/09/2024,06:15:00,18:00,3338,186,11.1,30.4,17.2,30.4,3338,1021,301,1784,232,0,11:33,01:18,04:36,00:32,00:00,6.1
"6, Athlete",RussEquestrian,Ride 1,13/09/2024,06:15:00,18:00,3565,200,12.0,30.3,17.3,30.3,3566,1110,372,1667,417,0,10:47,01:39,04:26,00:56,00:00,3.5
"2, Athlete",RussEquestrian,Ride 2,13/09/2024,06:46:00,17:00,2860,168,10.1,52.5,23.9,52.5,2860,1173,126,350,767,444,13:29,00:32,00:56,01:28,00:35,3.4
"4, Athlete",RussEquestrian,Ride 2,13/09/2024,06:46:00,17:00,2829,167,10.0,54.8,24.0,54.8,2829,1151,124,417,683,454,13:30,00:32,01:05,01:18,00:35,7.1
"6, Athlete",RussEquestrian,Ride 3,13/09/2024,08:06:00,16:00,3923,248,14.9,46.0,22.7,46.0,3923,876,443,986,1574,44,07:50,02:05,02:36,03:13,00:04,3.8
"2, Athlete",RussEquestrian,Ride 3,13/09/2024,08:06:00,16:00,3305,207,12.4,35.4,17.7,35.4,3305,987,124,439,1755,0,10:36,00:33,01:09,03:41,00:00,2.9
"4, Athlete",RussEquestrian,Ride 3,13/09/2024,08:06:00,16:00,3291,206,12.4,32.8,17.7,32.8,3291,973,112,441,1765,0,10:38,00:30,01:09,03:42,00:00,3.4
"2, Athlete",RussEquestrian,Ride 4,13/09/2024,08:30:00,18:00,3307,184,11.0,32.7,17.2,32.7,3306,1018,163,901,1224,0,12:14,00:44,02:24,02:37,00:00,3.1
"4, Athlete",RussEquestrian,Ride 4,13/09/2024,08:30:00,18:00,3257,181,10.9,33.6,17.1,33.6,3257,947,183,866,1261,0,12:08,00:50,02:19,02:42,00:00,5.0
"2, Athlete",RussEquestrian,Ride 1,6/09/2024,06:18:00,22:00,3543,161,9.7,33.0,17.2,33.0,3542,1195,71,1452,824,0,16:09,00:18,03:42,01:50,00:00,5.3
"4, Athlete",RussEquestrian,Ride 1,6/09/2024,06:18:00,22:00,3468,158,9.5,37.0,17.2,37.0,3468,1140,84,1538,706,0,16:08,00:22,03:55,01:34,00:00,5.1
"6, Athlete",RussEquestrian,Ride 1,6/09/2024,06:18:00,22:00,3720,169,10.2,32.3,17.2,32.3,3719,1341,112,1442,824,0,15:55,00:31,03:46,01:49,00:00,3.9
"2, Athlete",RussEquestrian,Ride 2,6/09/2024,06:45:00,15:00,3001,200,12.0,34.0,17.2,34.0,3001,660,173,948,1220,0,09:09,00:46,02:24,02:40,00:00,5.5
"4, Athlete",RussEquestrian,Ride 2,6/09/2024,06:45:00,15:00,2989,199,12.0,35.4,17.2,35.4,2990,641,179,901,1269,0,09:07,00:47,02:19,02:47,00:00,6.2
"6, Athlete",RussEquestrian,Ride 2,6/09/2024,06:45:00,15:00,3286,219,13.2,33.7,17.4,33.7,3285,787,262,885,1351,0,08:35,01:12,02:16,02:55,00:00,3.8
"2, Athlete",RussEquestrian,Ride 3,6/09/2024,07:15:00,15:00,3071,205,12.3,32.4,17.5,32.4,3071,801,258,664,1348,0,09:14,01:06,01:45,02:54,00:00,3.4
"4, Athlete",RussEquestrian,Ride 3,6/09/2024,07:15:00,15:00,3020,202,12.1,35.2,17.4,35.2,3020,772,278,680,1290,0,09:12,01:12,01:47,02:48,00:00,6.1
"6, Athlete",RussEquestrian,Ride 3,6/09/2024,07:15:00,15:00,3314,228,13.7,35.6,17.8,35.6,3314,900,380,671,1363,0,08:13,01:43,01:45,02:52,00:00,4.5
"2, Athlete",RussEquestrian,Ride 4,6/09/2024,07:40:00,00:00,2883,120,7.2,34.6,17.2,34.6,2883,1297,102,661,823,0,20:02,00:25,01:43,01:48,00:00,5.8
"4, Athlete",RussEquestrian,Ride 4,6/09/2024,07:40:00,00:00,2902,121,7.3,31.6,17.0,31.6,2903,1308,94,613,888,0,20:01,00:24,01:36,01:57,00:00,4.0
